Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arseneau Joël P.Q.;Déraspe Jean-Philippe Q.S.;Lapierre Jonathan C.A.Q.-E.F.L.;Leblanc Evan P.C.Q-E.E.D.;Thériault Gil P.L.Q./Q.L.P.;B.V.;B.R.
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;1;;1;81;19;1;1;2;12;35;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;2;;2;409;122;13;69;1;13;218;2
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;2;;3;398;126;9;77;1;8;221;4
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;2;;4;405;106;5;77;3;2;193;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;2;;5;397;118;16;84;2;14;234;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;3;;6;354;98;15;69;1;7;190;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;3;;7;362;103;14;67;5;12;201;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;3;;8;362;102;2;88;0;7;199;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;3;;9;365;107;10;80;3;2;202;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;3;;10;348;85;9;83;4;8;189;3
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;3;;11;363;86;23;69;0;10;188;4
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;3;;12;351;103;13;74;4;11;205;4
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;4;;13;358;90;13;68;0;11;182;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;4;;14;376;89;6;98;0;12;205;8
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;4;;15;388;107;12;110;2;9;240;2
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;4;;16;370;120;4;104;1;6;235;3
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;4;;17;372;117;9;68;2;9;205;2
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;4;;18;383;109;14;79;3;10;215;3
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;5;;19;387;83;6;97;1;10;197;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;5;;20;392;103;8;110;1;9;231;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;5;;21;400;110;5;108;2;7;232;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;5;;22;362;80;6;85;3;14;188;2
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;5;;23;386;92;8;73;2;8;183;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;6;;24;325;106;5;68;3;12;194;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;6;;25;324;125;11;43;1;10;190;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;6;;26;349;126;13;42;1;4;186;1
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;6;;27;324;126;7;46;3;13;195;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;6;;28;344;86;7;48;0;10;151;2
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;7;;29;114;39;2;21;3;1;66;2
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;8;;30;228;20;3;92;0;3;118;2
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;8;;31;228;25;3;81;1;7;117;2
858;Îles-de-la-Madeleine;2022-10-03;G;Grosse-Île, m;1;;32;301;8;1;7;8;140;164;0
858;Îles-de-la-Madeleine;2022-10-03;G;Grosse-Île, m;2;;33;90;0;0;3;10;31;44;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;5;Regr. BVO-22;500;141;0;0;0;0;0;0;0
858;Îles-de-la-Madeleine;2022-10-03;G;Les Îles-de-la-Madeleine, m;5;Regr. BVO-22;501;14;0;0;0;0;0;0;0
858;Îles-de-la-Madeleine;2022-10-03;G;BVA1: SV no 2 à 5;;;;0;75;14;87;2;9;187;1
858;Îles-de-la-Madeleine;2022-10-03;G;BVA2: SV no 6 à 11;;;;0;130;20;155;0;18;323;5
858;Îles-de-la-Madeleine;2022-10-03;G;BVA3: SV no 12 à 17;;;;0;82;13;111;3;24;233;2
858;Îles-de-la-Madeleine;2022-10-03;G;BVA4: SV no 18 à 23;;;;0;105;16;149;1;27;298;5
858;Îles-de-la-Madeleine;2022-10-03;G;BVA5: SV no 24 à 29;;;;0;118;14;75;0;15;222;2
858;Îles-de-la-Madeleine;2022-10-03;G;BVA6: SV no 30 à 33;;;;0;14;8;72;2;8;104;2
858;Îles-de-la-Madeleine;2022-10-03;G;Vote en installation d'hébergement;;;;0;35;2;74;0;15;126;4
858;Îles-de-la-Madeleine;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;20;2;42;3;2;69;3
858;Îles-de-la-Madeleine;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;220;36;209;5;36;506;1
858;Îles-de-la-Madeleine;2022-10-03;G;Vote itinérant en région éloignée;;Regr. BVDS-1;;0;0;0;0;0;0;0;0
858;Îles-de-la-Madeleine;2022-10-03;G;Vote hors circonscription;;;;0;142;52;75;4;10;283;8
858;Îles-de-la-Madeleine;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;7;0;0;0;0;0;0;0
858;Îles-de-la-Madeleine;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;1;0;0;0;0;0;0;0
858;Îles-de-la-Madeleine;2022-10-03;G;Vote anticipé par correspondance;;Regr. VHC-1;;0;0;0;0;0;0;0;0
858;Îles-de-la-Madeleine;2022-10-03;G;Total de la circonscription;;;;11159;3877;450;3338;93;606;8364;88
858;Îles-de-la-Madeleine;2022-10-03;G;Majorité en faveur de Joël Arseneau : 539;;;;;;;;;;;
